finding_id,area,finding,evidence,business_impact,recommendation
F-01,Recovery,Calculated recovery rate vs reported 11%,Calculated recovery rate = 12.31%; reported rate = 11.00%,The reported recovery figure does not reconcile with the core denominator.,Use the reconciled recovery definition consistently in management reporting.
F-02,Portfolio Mix,Recovery varies descriptively across DPD and risk segments,DPD/risk mix analysis; risk p-value = 0.468456; DPD p-value = 0.091219.,"Portfolio composition can influence aggregate recovery, but statistical tests do not establish independent effects.",Track recovery using consistent DPD and risk-segment cohorts.
F-03,Campaigns,Campaign and channel performance varies,campaign_performance.csv and channel_performance.csv.,Different collection strategies may be associated with different recovery outcomes.,Compare campaigns using common targeting and attribution definitions before scaling a strategy.
F-04,Operations,Agent and vendor performance varies,"agent_performance.csv and vendor_performance.csv; 1,000 agent IDs have identity conflicts.",Operational comparisons may be affected by unstable agent identifiers.,Resolve agent identity before using agent-level metrics for management decisions.
F-05,PTP,Recorded PTPs should be validated against subsequent successful payments,Observed PTP fulfillment rate = 7.09%.,PTP volume alone may overstate actual collection effectiveness.,Track PTP fulfillment using independently matched payment outcomes.
F-06,Data Quality,Data-quality and attribution limitations affect interpretation,"Payment, timestamp, agent identity, and attribution forensics.",Unresolved data issues can distort recovery and operational comparisons.,Maintain explicit data-quality flags and metric definitions in recurring reporting.
F-07,Payments,Repeated payment references are not confirmed duplicate events,"3,284 repeated references; 0 exact duplicate rows; ₹0 exact-duplicate financial impact.",Automatic reference-based deduplication could incorrectly remove legitimate payment events.,Do not deduplicate payment references without validated business-key evidence.
F-08,Timestamps,Payment timestamps are timezone-naive,"0 timezone-labelled records; 5,213 events (21.25%) occur near midnight.",Calendar-date analysis may be sensitive to an assumed timezone conversion.,Preserve source timestamps and document the timezone limitation.
F-09,Attribution,Multiple attribution records can double-count recovery,"25 payments with multiple attribution records; ₹1,782,308.87 potential excess attributed recovery.","Raw attributed recovery can overstate campaign, agent, or vendor contribution.",Use successful payments as the source of truth and apply mutually exclusive attribution.
F-10,Cohort Effects,Successful-payment rates vary across account-opening cohorts,23 cohorts observed; payment-rate range = 4.97 percentage points (41.33% to 46.30%).,Period-to-period recovery comparisons may be influenced by cohort composition.,Control for account-opening cohort when comparing recovery performance.
F-11,Selection Bias,Collection-touch and untouched accounts show similar measured DPD and outstanding characteristics,"1,520 touched vs 28,480 untouched accounts; average DPD 56.46 vs 56.51.","Measured portfolio characteristics do not show a material selection difference, but unobserved factors may remain.",Do not assume selection bias is absent; compare additional pre-treatment characteristics.
F-12,Survivorship Bias,Active and non-active account populations should both remain in historical analysis,"7,539 active and 22,461 non-active accounts across ACTIVE, CLOSED, PAID and WRITEOFF statuses.","Excluding closed, paid or written-off accounts can distort historical performance measurement.",Retain the full account population for historical analysis.
F-13,Simpson's Paradox,No evidence of Simpson's paradox detected across risk segments,Overall payment rate = 43.70%; segment rates range from 43.25% to 44.46% with no reversal.,No aggregate-versus-segment reversal was observed in this check.,Continue reporting aggregate and risk-segment metrics together.
F-14,Attribution Window,Attributed recovery is highly sensitive to attribution-window length,"Attributed recovery increases from ₹691,289.50 at 1 hour to ₹54,834,150.64 at 72 hours.","Campaign, agent and vendor contribution can change materially depending on the attribution window.","Use one fixed, documented attribution window for operational comparisons."
F-15,Time Series,Material month-to-month recovery variation was observed,"8 months observed; monthly recovery ranged from ₹45,675,922.69 to ₹185,147,268.87.",Temporal variation can influence apparent operational improvement.,Compare consistent time periods before attributing changes to operational interventions.
F-16,Counterfactual,Causal impact requires comparable treatment and control groups,"Recommended design uses randomized assignment where possible, or matched/stratified observational groups.",Current observational data does not establish incremental causal recovery or ROI.,Use controlled or stronger quasi-experimental evaluation before making causal investment claims.
F-17,Production Monitoring,Production analytics should include anomaly detection,"Defined checks cover payment volume, recovery amount, recovery rate, status distribution, duplicate references, missing identifiers and attribution coverage.",Early detection can identify data-quality or business-metric abnormalities before management reporting is affected.,Implement rolling baselines and investigation alerts without automatically modifying source data.
